float_val,fixed_val,float_sine,fixed_sine,scaled_float,fixed_err
0.029913,312,0.029908,804,980,176.029968
0.030008,313,0.030004,804,983,179.170105
0.030104,314,0.030100,804,986,182.310303
0.030200,315,0.030196,804,989,185.450439
0.030296,316,0.030291,804,993,188.590637
0.030392,317,0.030387,804,996,191.730774
0.030488,318,0.030483,804,999,194.870850
0.030584,319,0.030579,804,1002,198.010986
0.030680,320,0.030675,1005,1005,0.151123
0.030775,321,0.030771,1005,1008,3.291260
0.030871,322,0.030866,1005,1011,6.431396
0.030967,323,0.030962,1005,1015,9.571411
0.031063,324,0.031058,1005,1018,12.711487
0.031159,325,0.031154,1005,1021,15.851563
0.031255,326,0.031250,1005,1024,18.991577
0.031351,327,0.031346,1005,1027,22.131592
0.031447,328,0.031441,1005,1030,25.271729
0.031542,329,0.031537,1005,1033,28.411743
0.031638,330,0.031633,1005,1037,31.551758
0.031734,331,0.031729,1005,1040,34.691772
0.031830,332,0.031825,1005,1043,37.831787
0.031926,333,0.031921,1005,1046,40.971802
0.032022,334,0.032016,1005,1049,44.111816
0.032118,335,0.032112,1005,1052,47.251831
0.032214,336,0.032208,1005,1055,50.391724
0.032309,337,0.032304,1005,1059,53.531616
0.032405,338,0.032400,1005,1062,56.671631
0.032501,339,0.032495,1005,1065,59.811523
0.032597,340,0.032591,1005,1068,62.951416
0.032693,341,0.032687,1005,1071,66.091431
0.032789,342,0.032783,1005,1074,69.231323
0.032885,343,0.032879,1005,1077,72.371216
0.032981,344,0.032975,1005,1081,75.511108
0.033076,345,0.033070,1005,1084,78.651001
0.033172,346,0.033166,1005,1087,81.790894
0.033268,347,0.033262,1005,1090,84.930664
0.033364,348,0.033358,1005,1093,88.070435
0.033460,349,0.033454,1005,1096,91.210327
0.033556,350,0.033550,1005,1099,94.350220
0.033652,351,0.033645,1005,1102,97.489990
0.033748,352,0.033741,1005,1106,100.629883
0.033843,353,0.033837,1005,1109,103.769653
0.033939,354,0.033933,1005,1112,106.909424
0.034035,355,0.034029,1005,1115,110.049194
0.034131,356,0.034124,1005,1118,113.188965
0.034227,357,0.034220,1005,1121,116.328735
0.034323,358,0.034316,1005,1124,119.468384
0.034419,359,0.034412,1005,1128,122.608154
0.034515,360,0.034508,1005,1131,125.747925
0.034610,361,0.034604,1005,1134,128.887573
0.034706,362,0.034699,1005,1137,132.027344
0.034802,363,0.034795,1005,1140,135.166992
0.034898,364,0.034891,1005,1143,138.306763
0.034994,365,0.034987,1005,1146,141.446411
0.035090,366,0.035083,1005,1150,144.586060
0.035186,367,0.035178,1005,1153,147.725708
0.035282,368,0.035274,1005,1156,150.865356
0.035377,369,0.035370,1005,1159,154.004883
0.035473,370,0.035466,1005,1162,157.144531
0.035569,371,0.035562,1005,1165,160.284180
0.035665,372,0.035657,1005,1168,163.423828
0.035761,373,0.035753,1005,1172,166.563354
0.035857,374,0.035849,1005,1175,169.703003
0.035953,375,0.035945,1005,1178,172.842529
0.036049,376,0.036041,1005,1181,175.982056
0.036144,377,0.036137,1005,1184,179.121704
0.036240,378,0.036232,1005,1187,182.261230
0.036336,379,0.036328,1005,1190,185.400635
0.036432,380,0.036424,1005,1194,188.540161
0.036528,381,0.036520,1005,1197,191.679688
0.036624,382,0.036616,1005,1200,194.819092
0.036720,383,0.036711,1005,1203,197.958618
0.036816,384,0.036807,1206,1206,0.098145
0.036911,385,0.036903,1206,1209,3.237549
0.037007,386,0.036999,1206,1212,6.377075
0.037103,387,0.037095,1206,1216,9.516479
0.037199,388,0.037190,1206,1219,12.655884
0.037295,389,0.037286,1206,1222,15.795288
0.037391,390,0.037382,1206,1225,18.934570
0.037487,391,0.037478,1206,1228,22.073975
0.037582,392,0.037574,1206,1231,25.213379
0.037678,393,0.037669,1206,1234,28.352783
0.037774,394,0.037765,1206,1237,31.492188
0.037870,395,0.037861,1206,1241,34.631470
0.037966,396,0.037957,1206,1244,37.770874
0.038062,397,0.038053,1206,1247,40.910156
0.038158,398,0.038148,1206,1250,44.049561
0.038254,399,0.038244,1206,1253,47.188843
0.038349,400,0.038340,1206,1256,50.328003
0.038445,401,0.038436,1206,1259,53.467285
0.038541,402,0.038532,1206,1263,56.606567
0.038637,403,0.038627,1206,1266,59.745850
0.038733,404,0.038723,1206,1269,62.885010
0.038829,405,0.038819,1206,1272,66.024292
0.038925,406,0.038915,1206,1275,69.163574
0.039021,407,0.039011,1206,1278,72.302734
0.039116,408,0.039107,1206,1281,75.441895
0.039212,409,0.039202,1206,1285,78.581177
0.039308,410,0.039298,1206,1288,81.720337
0.039404,411,0.039394,1206,1291,84.859375
0.039500,412,0.039490,1206,1294,87.998535
0.039596,413,0.039586,1206,1297,91.137695
0.039692,414,0.039681,1206,1300,94.276855
0.039788,415,0.039777,1206,1303,97.415894
0.039883,416,0.039873,1206,1307,100.555054
0.039979,417,0.039969,1206,1310,103.694092
0.040075,418,0.040064,1206,1313,106.833252
0.040171,419,0.040160,1206,1316,109.972290
0.040267,420,0.040256,1206,1319,113.111328
0.040363,421,0.040352,1206,1322,116.250366
0.040459,422,0.040448,1206,1325,119.389282
0.040555,423,0.040543,1206,1329,122.528320
0.040650,424,0.040639,1206,1332,125.667358
0.040746,425,0.040735,1206,1335,128.806396
0.040842,426,0.040831,1206,1338,131.945313
0.040938,427,0.040927,1206,1341,135.084351
0.041034,428,0.041022,1206,1344,138.223267
0.041130,429,0.041118,1206,1347,141.362183
0.041226,430,0.041214,1206,1351,144.501221
0.041322,431,0.041310,1206,1354,147.640137
0.041417,432,0.041406,1206,1357,150.779053
0.041513,433,0.041501,1206,1360,153.917847
0.041609,434,0.041597,1206,1363,157.056641
0.041705,435,0.041693,1206,1366,160.195557
0.041801,436,0.041789,1206,1369,163.334473
0.041897,437,0.041885,1206,1372,166.473267
0.041993,438,0.041980,1206,1376,169.612061
0.042089,439,0.042076,1206,1379,172.750977
0.042184,440,0.042172,1206,1382,175.889771
0.042280,441,0.042268,1206,1385,179.028564
0.042376,442,0.042364,1206,1388,182.167358
0.042472,443,0.042459,1206,1391,185.306030
0.042568,444,0.042555,1206,1394,188.444702
0.042664,445,0.042651,1206,1398,191.583496
0.042760,446,0.042747,1206,1401,194.722290
0.042856,447,0.042842,1206,1404,197.860962
0.042951,448,0.042938,1406,1407,0.999634
0.043047,449,0.043034,1406,1410,4.138306
0.043143,450,0.043130,1406,1413,7.277100
0.043239,451,0.043226,1406,1416,10.415771
0.043335,452,0.043321,1406,1420,13.554321
0.043431,453,0.043417,1406,1423,16.692993
0.043527,454,0.043513,1406,1426,19.831543
0.043623,455,0.043609,1406,1429,22.970215
0.043718,456,0.043704,1406,1432,26.108765
0.043814,457,0.043800,1406,1435,29.247314
0.043910,458,0.043896,1406,1438,32.385986
0.044006,459,0.043992,1406,1442,35.524536
0.044102,460,0.044088,1406,1445,38.663086
0.044198,461,0.044183,1406,1448,41.801636
0.044294,462,0.044279,1406,1451,44.940063
0.044390,463,0.044375,1406,1454,48.078613
0.044485,464,0.044471,1406,1457,51.217041
0.044581,465,0.044567,1406,1460,54.355469
0.044677,466,0.044662,1406,1463,57.494019
0.044773,467,0.044758,1406,1467,60.632446
0.044869,468,0.044854,1406,1470,63.770874
0.044965,469,0.044950,1406,1473,66.909302
0.045061,470,0.045045,1406,1476,70.047729
0.045157,471,0.045141,1406,1479,73.186157
0.045252,472,0.045237,1406,1482,76.324585
0.045348,473,0.045333,1406,1485,79.462891
0.045444,474,0.045429,1406,1489,82.601318
0.045540,475,0.045524,1406,1492,85.739502
0.045636,476,0.045620,1406,1495,88.877808
0.045732,477,0.045716,1406,1498,92.016113
0.045828,478,0.045812,1406,1501,95.154419
0.045924,479,0.045907,1406,1504,98.292725
0.046019,480,0.046003,1406,1507,101.431030
0.046115,481,0.046099,1406,1511,104.569336
0.046211,482,0.046195,1406,1514,107.707520
0.046307,483,0.046290,1406,1517,110.845825
0.046403,484,0.046386,1406,1520,113.984009
0.046499,485,0.046482,1406,1523,117.122314
0.046595,486,0.046578,1406,1526,120.260376
0.046691,487,0.046674,1406,1529,123.398560
0.046786,488,0.046769,1406,1533,126.536743
0.046882,489,0.046865,1406,1536,129.674805
0.046978,490,0.046961,1406,1539,132.812988
0.047074,491,0.047057,1406,1542,135.951172
0.047170,492,0.047152,1406,1545,139.089233
0.047266,493,0.047248,1406,1548,142.227295
0.047362,494,0.047344,1406,1551,145.365479
0.047457,495,0.047440,1406,1555,148.503540
0.047553,496,0.047535,1406,1558,151.641602
0.047649,497,0.047631,1406,1561,154.779419
0.047745,498,0.047727,1406,1564,157.917480
0.047841,499,0.047823,1406,1567,161.055542
0.047937,500,0.047919,1406,1570,164.193481
0.048033,501,0.048014,1406,1573,167.331543
0.048129,502,0.048110,1406,1576,170.469482
0.048224,503,0.048206,1406,1580,173.607422
0.048320,504,0.048302,1406,1583,176.745361
0.048416,505,0.048397,1406,1586,179.883301
0.048512,506,0.048493,1406,1589,183.021240
0.048608,507,0.048589,1406,1592,186.158936
0.048704,508,0.048685,1406,1595,189.296875
0.048800,509,0.048780,1406,1598,192.434692
0.048896,510,0.048876,1406,1602,195.572632
0.048991,511,0.048972,1406,1605,198.710449
0.049087,512,0.049068,1607,1608,0.848267
0.049183,513,0.049163,1607,1611,3.986084
0.049279,514,0.049259,1607,1614,7.123901
0.049375,515,0.049355,1607,1617,10.261597
0.049471,516,0.049451,1607,1620,13.399414
0.049567,517,0.049546,1607,1624,16.537109
0.049663,518,0.049642,1607,1627,19.674805
0.049758,519,0.049738,1607,1630,22.812500
0.049854,520,0.049834,1607,1633,25.950195
0.049950,521,0.049929,1607,1636,29.087891
