float_val,fixed_val,float_div,fixed_div,scaled_float,fixed_err
-0.992340,-32517,-0.755789,-24765,-24766,-0.703125
-0.992310,-32516,-0.755813,-24766,-24766,-0.464844
-0.992279,-32515,-0.755836,-24767,-24767,-0.226563
-0.992249,-32514,-0.755859,-24767,-24768,-0.988281
-0.992218,-32513,-0.755882,-24768,-24769,-0.750000
-0.992188,-32512,-0.755906,-24769,-24770,-0.511719
-0.992157,-32511,-0.755929,-24770,-24770,-0.273438
-0.992126,-32510,-0.755952,-24771,-24771,-0.035156
-0.992096,-32509,-0.755975,-24771,-24772,-0.796875
-0.992065,-32508,-0.755999,-24772,-24773,-0.560547
-0.992035,-32507,-0.756022,-24773,-24773,-0.322266
-0.992004,-32506,-0.756045,-24774,-24774,-0.083984
-0.991974,-32505,-0.756068,-24774,-24775,-0.845703
-0.991943,-32504,-0.756092,-24775,-24776,-0.607422
-0.991913,-32503,-0.756115,-24776,-24776,-0.371094
-0.991882,-32502,-0.756138,-24777,-24777,-0.132813
-0.991852,-32501,-0.756161,-24777,-24778,-0.894531
-0.991821,-32500,-0.756185,-24778,-24779,-0.658203
-0.991791,-32499,-0.756208,-24779,-24779,-0.419922
-0.991760,-32498,-0.756231,-24780,-24780,-0.181641
-0.991730,-32497,-0.756254,-24780,-24781,-0.945313
-0.991699,-32496,-0.756278,-24781,-24782,-0.707031
-0.991669,-32495,-0.756301,-24782,-24782,-0.470703
-0.991638,-32494,-0.756324,-24783,-24783,-0.232422
-0.991608,-32493,-0.756348,-24783,-24784,-0.996094
-0.991577,-32492,-0.756371,-24784,-24785,-0.757813
-0.991547,-32491,-0.756394,-24785,-24786,-0.521484
-0.991516,-32490,-0.756417,-24786,-24786,-0.283203
-0.991486,-32489,-0.756441,-24787,-24787,-0.046875
-0.991455,-32488,-0.756464,-24787,-24788,-0.810547
-0.991425,-32487,-0.756487,-24788,-24789,-0.572266
-0.991394,-32486,-0.756510,-24789,-24789,-0.335938
-0.991364,-32485,-0.756534,-24790,-24790,-0.099609
-0.991333,-32484,-0.756557,-24790,-24791,-0.861328
-0.991302,-32483,-0.756580,-24791,-24792,-0.625000
-0.991272,-32482,-0.756604,-24792,-24792,-0.388672
-0.991241,-32481,-0.756627,-24793,-24793,-0.152344
-0.991211,-32480,-0.756650,-24793,-24794,-0.916016
-0.991180,-32479,-0.756674,-24794,-24795,-0.677734
-0.991150,-32478,-0.756697,-24795,-24795,-0.441406
-0.991119,-32477,-0.756720,-24796,-24796,-0.205078
-0.991089,-32476,-0.756743,-24796,-24797,-0.968750
-0.991058,-32475,-0.756767,-24797,-24798,-0.732422
-0.991028,-32474,-0.756790,-24798,-24798,-0.496094
-0.990997,-32473,-0.756813,-24799,-24799,-0.259766
-0.990967,-32472,-0.756837,-24800,-24800,-0.023438
-0.990936,-32471,-0.756860,-24800,-24801,-0.787109
-0.990906,-32470,-0.756883,-24801,-24802,-0.550781
-0.990875,-32469,-0.756907,-24802,-24802,-0.314453
-0.990845,-32468,-0.756930,-24803,-24803,-0.078125
-0.990814,-32467,-0.756953,-24803,-24804,-0.843750
-0.990784,-32466,-0.756977,-24804,-24805,-0.607422
-0.990753,-32465,-0.757000,-24805,-24805,-0.371094
-0.990723,-32464,-0.757023,-24806,-24806,-0.134766
-0.990692,-32463,-0.757046,-24806,-24807,-0.898438
-0.990662,-32462,-0.757070,-24807,-24808,-0.664063
-0.990631,-32461,-0.757093,-24808,-24808,-0.427734
-0.990601,-32460,-0.757116,-24809,-24809,-0.191406
-0.990570,-32459,-0.757140,-24809,-24810,-0.957031
-0.990540,-32458,-0.757163,-24810,-24811,-0.720703
-0.990509,-32457,-0.757186,-24811,-24811,-0.484375
-0.990479,-32456,-0.757210,-24812,-24812,-0.250000
-0.990448,-32455,-0.757233,-24813,-24813,-0.013672
-0.990417,-32454,-0.757256,-24813,-24814,-0.779297
-0.990387,-32453,-0.757280,-24814,-24815,-0.542969
-0.990356,-32452,-0.757303,-24815,-24815,-0.308594
-0.990326,-32451,-0.757326,-24816,-24816,-0.072266
-0.990295,-32450,-0.757350,-24816,-24817,-0.837891
-0.990265,-32449,-0.757373,-24817,-24818,-0.601563
-0.990234,-32448,-0.757396,-24818,-24818,-0.367188
-0.990204,-32447,-0.757420,-24819,-24819,-0.130859
-0.990173,-32446,-0.757443,-24819,-24820,-0.896484
-0.990143,-32445,-0.757466,-24820,-24821,-0.662109
-0.990112,-32444,-0.757490,-24821,-24821,-0.425781
-0.990082,-32443,-0.757513,-24822,-24822,-0.191406
-0.990051,-32442,-0.757537,-24822,-24823,-0.957031
-0.990021,-32441,-0.757560,-24823,-24824,-0.722656
-0.989990,-32440,-0.757583,-24824,-24824,-0.486328
-0.989960,-32439,-0.757607,-24825,-24825,-0.251953
-0.989929,-32438,-0.757630,-24826,-24826,-0.017578
-0.989899,-32437,-0.757653,-24826,-24827,-0.783203
-0.989868,-32436,-0.757677,-24827,-24828,-0.548828
-0.989838,-32435,-0.757700,-24828,-24828,-0.314453
-0.989807,-32434,-0.757723,-24829,-24829,-0.080078
-0.989777,-32433,-0.757747,-24829,-24830,-0.845703
-0.989746,-32432,-0.757770,-24830,-24831,-0.611328
-0.989716,-32431,-0.757793,-24831,-24831,-0.376953
-0.989685,-32430,-0.757817,-24832,-24832,-0.142578
-0.989655,-32429,-0.757840,-24832,-24833,-0.908203
-0.989624,-32428,-0.757864,-24833,-24834,-0.673828
-0.989594,-32427,-0.757887,-24834,-24834,-0.439453
-0.989563,-32426,-0.757910,-24835,-24835,-0.205078
-0.989532,-32425,-0.757934,-24835,-24836,-0.970703
-0.989502,-32424,-0.757957,-24836,-24837,-0.736328
-0.989471,-32423,-0.757980,-24837,-24838,-0.503906
-0.989441,-32422,-0.758004,-24838,-24838,-0.269531
-0.989410,-32421,-0.758027,-24839,-24839,-0.035156
-0.989380,-32420,-0.758051,-24839,-24840,-0.800781
-0.989349,-32419,-0.758074,-24840,-24841,-0.568359
-0.989319,-32418,-0.758097,-24841,-24841,-0.333984
-0.989288,-32417,-0.758121,-24842,-24842,-0.099609
-0.989258,-32416,-0.758144,-24842,-24843,-0.867188
-0.989227,-32415,-0.758168,-24843,-24844,-0.632813
