float_val,fixed_val,float_mul,fixed_mul,scaled_float,fixed_err
-0.439819,-14412,0.013744,450,450,0.375000
-0.439789,-14411,0.013743,450,450,0.343750
-0.439758,-14410,0.013742,450,450,0.312500
-0.439728,-14409,0.013741,450,450,0.281250
-0.439697,-14408,0.013741,450,450,0.250000
-0.439667,-14407,0.013740,450,450,0.218750
-0.439636,-14406,0.013739,450,450,0.187500
-0.439606,-14405,0.013738,450,450,0.156250
-0.439575,-14404,0.013737,450,450,0.125000
-0.439545,-14403,0.013736,450,450,0.093750
-0.439514,-14402,0.013735,450,450,0.062500
-0.439484,-14401,0.013734,450,450,0.031250
-0.439453,-14400,0.013733,450,450,0.000000
-0.439423,-14399,0.013732,449,450,0.968750
-0.439392,-14398,0.013731,449,450,0.937500
-0.439362,-14397,0.013730,449,450,0.906250
-0.439331,-14396,0.013729,449,450,0.875000
-0.439301,-14395,0.013728,449,450,0.843750
-0.439270,-14394,0.013727,449,450,0.812500
-0.439240,-14393,0.013726,449,450,0.781250
-0.439209,-14392,0.013725,449,450,0.750000
-0.439178,-14391,0.013724,449,450,0.718750
-0.439148,-14390,0.013723,449,450,0.687500
-0.439117,-14389,0.013722,449,450,0.656250
-0.439087,-14388,0.013721,449,450,0.625000
-0.439056,-14387,0.013721,449,450,0.593750
-0.439026,-14386,0.013720,449,450,0.562500
-0.438995,-14385,0.013719,449,450,0.531250
-0.438965,-14384,0.013718,449,450,0.500000
-0.438934,-14383,0.013717,449,449,0.468750
-0.438904,-14382,0.013716,449,449,0.437500
-0.438873,-14381,0.013715,449,449,0.406250
-0.438843,-14380,0.013714,449,449,0.375000
-0.438812,-14379,0.013713,449,449,0.343750
-0.438782,-14378,0.013712,449,449,0.312500
-0.438751,-14377,0.013711,449,449,0.281250
-0.438721,-14376,0.013710,449,449,0.250000
-0.438690,-14375,0.013709,449,449,0.218750
-0.438660,-14374,0.013708,449,449,0.187500
-0.438629,-14373,0.013707,449,449,0.156250
-0.438599,-14372,0.013706,449,449,0.125000
-0.438568,-14371,0.013705,449,449,0.093750
-0.438538,-14370,0.013704,449,449,0.062500
-0.438507,-14369,0.013703,449,449,0.031250
-0.438477,-14368,0.013702,449,449,0.000000
-0.438446,-14367,0.013701,448,449,0.968750
-0.438416,-14366,0.013700,448,449,0.937500
-0.438385,-14365,0.013700,448,449,0.906250
-0.438354,-14364,0.013699,448,449,0.875000
-0.438324,-14363,0.013698,448,449,0.843750
-0.438293,-14362,0.013697,448,449,0.812500
-0.438263,-14361,0.013696,448,449,0.781250
-0.438232,-14360,0.013695,448,449,0.750000
-0.438202,-14359,0.013694,448,449,0.718750
-0.438171,-14358,0.013693,448,449,0.687500
-0.438141,-14357,0.013692,448,449,0.656250
-0.438110,-14356,0.013691,448,449,0.625000
-0.438080,-14355,0.013690,448,449,0.593750
-0.438049,-14354,0.013689,448,449,0.562500
-0.438019,-14353,0.013688,448,449,0.531250
-0.437988,-14352,0.013687,448,449,0.500000
-0.437958,-14351,0.013686,448,448,0.468750
-0.437927,-14350,0.013685,448,448,0.437500
-0.437897,-14349,0.013684,448,448,0.406250
-0.437866,-14348,0.013683,448,448,0.375000
-0.437836,-14347,0.013682,448,448,0.343750
-0.437805,-14346,0.013681,448,448,0.312500
-0.437775,-14345,0.013680,448,448,0.281250
-0.437744,-14344,0.013680,448,448,0.250000
-0.437714,-14343,0.013679,448,448,0.218750
-0.437683,-14342,0.013678,448,448,0.187500
-0.437653,-14341,0.013677,448,448,0.156250
-0.437622,-14340,0.013676,448,448,0.125000
